ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	track	t_best	t0	t1	bbox	score	lat	lon	alt
22	22	0.811	палка-ручка-пробка	6.4	3.7	лишайник-жёлтый-на-камне	1.014	79.4	9.0	18.0	20.1	bbox	21	4.0	3.0	4.0	1627,36,20,12	513.0	39.4861401	73.5856369	4439.8
23	23	1.356	палка-ручка-пробка	9.2	20.0	лишайник-жёлтый-на-камне	1.148	95.7	-1.0	16.0	16.0	bbox	22	12.0	12.0	12.0	1109,737,18,15	501.3	39.4861384	73.5856386	4439.9
24	24	0.468	палка-ручка-контроль	3.6	3.5	лишайник-жёлтый-на-камне	1.136	54.1	8.0	23.0	24.4	bbox	23	6.0	6.0	8.0	438,351,25,15	493.7	39.4861398	73.5856369	4439.8
25	25	1.368	стакан-марка-красная	8.5	23.9	порода-в-тени	0.667	25.9	3.0	-2.0	3.6	bbox	24	5.0	5.0	5.0	557,373,21,11	491.4	39.4861400	73.5856370	4439.8
26	26	1.391	палка-ручка-контроль	10.6	11.5	порода-охристая	1.103	46.1	14.0	19.0	23.6	bbox	25	8.0	7.0	10.0	417,623,10,16	470.1	39.4861397	73.5856373	4439.8
27	27	1.541	стакан-марка-красная	12.2	7.1	порода-в-тени	0.808	42.7	-1.0	-1.0	1.4	bbox	26	13.0	13.0	13.0	1711,707,10,19	463.2	39.4861384	73.5856385	4439.9
28	28	1.362	стакан-марка-красная	10.7	7.4	порода-в-тени	0.844	42.4	0.5	-1.0	1.1	bbox	27	13.0	13.0	13.0	1849,1027,13,14	459.0	39.4861384	73.5856385	4439.9
29	29	1.668	стакан-марка-красная	11.2	25.5	порода-в-тени	0.286	24.3	0.0	-1.0	1.0	bbox	28	13.0	13.0	13.0	1585,753,16,16	409.8	39.4861384	73.5856385	4439.9
30	30	0.415	палка-ручка-контроль	3.2	3.6	лишайник-жёлтый-на-камне	0.988	61.2	7.0	23.0	24.0	bbox	29	9.0	7.0	9.0	1211,248,28,9	408.9	39.4861394	73.5856379	4439.8
31	31	1.271	рюкзак-синий	10.0	5.5	порода-в-тени	0.645	33.3	0.0	-4.0	4.0	bbox	30	13.0	13.0	13.0	129,1045,10,21	400.5	39.4861384	73.5856385	4439.9
32	32	1.597	стакан-марка-красная	12.0	14.9	снег-освещённый	0.575	64.7	-1.0	0.0	1.0	bbox	31	4.0	3.0	4.0	274,285,15,16	398.0	39.4861401	73.5856369	4439.8
33	33	1.233	стакан-марка-красная	5.8	27.8	снег-розовый	0.901	77.6	8.0	6.0	10.0	bbox	32	8.0	8.0	9.0	529,899,24,14	391.9	39.4861397	73.5856373	4439.8
34	34	0.465	палка-ручка-пробка	2.2	10.4	лишайник-жёлтый-на-камне	0.637	65.3	3.0	22.0	22.2	bbox	33	10.0	10.0	10.0	1324,898,13,18	390.9	39.4861392	73.5856382	4439.8
