ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	track	t_best	t0	t1	bbox	score	lat	lon	alt
1573	1573	1.504	стакан-марка-красная	3.0	40.8	порода-в-тени	1.338	9.0	8.0	1.0	8.1	bbox	1572	110.1	110.1	110.1	274,741,5,5	55.1	39.4863260	73.5937820	4927.5
1574	1574	1.976	рюкзак-синий	13.5	29.0	порода-в-тени	0.384	9.8	-2.5	-1.0	2.7	bbox	1573	152.2	150.2	152.2	257,809,5,6	55.1	39.4863280	73.5937840	4927.5
1575	1575	1.548	стакан-марка-красная	11.0	19.6	снег-освещённый	0.425	69.4	0.0	0.0	0.0	bbox	1574	100.1	99.1	100.1	1747,66,7,3	55.0	39.4863260	73.5937820	4927.5
1576	1576	1.430	рюкзак-синий	6.3	33.4	снег-в-тени	0.879	72.2	-1.0	-8.0	8.1	bbox	1575	211.2	211.2	211.2	1480,370,5,7	54.6	39.4863280	73.5937840	4927.5
1577	1577	1.506	стакан-марка-красная	11.0	16.9	снег-освещённый	0.520	66.7	0.0	0.0	0.0	bbox	1576	95.1	92.1	95.1	1310,260,5,3	53.9	39.4863270	73.5937820	4927.5
1578	1578	1.379	рюкзак-синий	7.3	29.0	порода-в-тени	1.047	9.8	3.0	-7.0	7.6	bbox	1577	89.1	89.1	89.1	873,211,6,4	53.7	39.4863270	73.5937830	4927.5
1579	1579	0.966	стакан-марка-красная	4.3	22.5	порода-в-тени	1.153	27.3	7.0	-0.5	7.0	bbox	1578	151.2	148.1	151.2	1733,771,6,5	53.7	39.4863280	73.5937850	4927.5
1580	1580	1.653	рюкзак-синий	8.3	36.1	снег-пересвеченный	0.735	74.9	-2.5	-6.5	7.0	bbox	1579	110.1	110.1	110.1	21,372,8,3	53.4	39.4863260	73.5937820	4927.5
1581	1581	1.469	стакан-марка-красная	11.1	13.5	снег-освещённый	0.639	63.3	0.0	-0.5	0.5	bbox	1580	207.2	207.2	207.2	925,1009,4,5	53.4	39.4863270	73.5937840	4927.5
1582	1582	1.275	стакан-марка-красная	2.8	34.3	порода-в-тени	1.386	15.5	9.0	-1.0	9.1	bbox	1581	95.1	95.1	95.1	970,295,7,4	53.1	39.4863270	73.5937820	4927.5
1583	1583	1.357	рюкзак-синий	8.2	24.9	порода-в-тени	1.309	13.9	6.0	-7.5	9.6	bbox	1582	141.1	141.1	141.1	1491,45,8,2	52.9	39.4863280	73.5937840	4927.5
1584	1584	1.599	стакан-марка-красная	12.0	15.1	снег-освещённый	0.568	64.9	-1.0	0.0	1.0	bbox	1583	96.1	92.1	97.1	1066,43,8,4	52.3	39.4863270	73.5937820	4927.5
1585	1585	2.203	палка-древко-контроль	14.0	37.4	снег-пересвеченный	0.652	79.0	-7.5	-1.0	7.6	bbox	1584	211.2	211.2	211.2	91,1019,6,4	52.3	39.4863280	73.5937840	4927.5
1586	1586	1.479	стакан-марка-красная	11.2	13.5	снег-освещённый	0.648	63.3	0.0	-1.0	1.0	bbox	1585	207.2	207.2	207.2	915,733,5,4	52.2	39.4863270	73.5937840	4927.5
